src,dst,syn_count,nt,sign,weight
1688,2,5,ACH,1.0,1.791759469228055
1006,551,6,ACH,1.0,1.9459101490553132
1015,1091,44,ACH,1.0,3.8066624897703196
1040,623,54,GABA,-1.0,-4.007333185232471
915,2,5,ACH,1.0,1.791759469228055
498,1564,22,ACH,1.0,3.1354942159291497
1392,991,14,ACH,1.0,2.70805020110221
529,1224,8,ACH,1.0,2.1972245773362196
1015,102,9,ACH,1.0,2.302585092994046
1419,1518,8,ACH,1.0,2.1972245773362196
1812,253,29,ACH,1.0,3.4011973816621555
1417,253,14,ACH,1.0,2.70805020110221
397,1627,5,GLUT,-1.0,-1.791759469228055
92,810,68,ACH,1.0,4.23410650459726
513,752,67,GABA,-1.0,-4.219507705176107
706,1776,5,GLUT,-1.0,-1.791759469228055
1199,1286,5,GABA,-1.0,-1.791759469228055
736,1725,15,ACH,1.0,2.772588722239781
836,548,9,DA,1.0,2.302585092994046
631,1660,5,SER,1.0,1.791759469228055
326,810,111,ACH,1.0,4.718498871295094
1303,708,9,GABA,-1.0,-2.302585092994046
548,1591,38,ACH,1.0,3.6635616461296463
1250,721,10,ACH,1.0,2.3978952727983707
1697,810,83,ACH,1.0,4.430816798843313
1574,984,8,ACH,1.0,2.1972245773362196
557,669,6,ACH,1.0,1.9459101490553132
446,880,29,ACH,1.0,3.4011973816621555
470,323,12,ACH,1.0,2.5649493574615367
1303,364,6,GABA,-1.0,-1.9459101490553132
167,1726,7,ACH,1.0,2.0794415416798357
836,669,31,DA,1.0,3.4657359027997265
1628,59,8,ACH,1.0,2.1972245773362196
1112,1286,100,ACH,1.0,4.61512051684126
1758,1597,11,GABA,-1.0,-2.4849066497880004
1235,113,15,ACH,1.0,2.772588722239781
1192,769,10,ACH,1.0,2.3978952727983707
669,984,6,GABA,-1.0,-1.9459101490553132
752,1082,41,ACH,1.0,3.7376696182833684
1040,1226,8,GABA,-1.0,-2.1972245773362196
894,192,14,GLUT,-1.0,-2.70805020110221
92,239,28,ACH,1.0,3.367295829986474
1286,729,28,ACH,1.0,3.367295829986474
265,623,43,ACH,1.0,3.784189633918261
729,470,28,GABA,-1.0,-3.367295829986474
1303,80,5,GABA,-1.0,-1.791759469228055
1040,844,6,GABA,-1.0,-1.9459101490553132
1303,353,12,GABA,-1.0,-2.5649493574615367
494,1190,19,ACH,1.0,2.995732273553991
1604,352,5,ACH,1.0,1.791759469228055
572,1152,5,ACH,1.0,1.791759469228055
1372,369,13,ACH,1.0,2.6390573296152584
1758,743,6,GABA,-1.0,-1.9459101490553132
1303,289,8,GABA,-1.0,-2.1972245773362196
492,769,14,ACH,1.0,2.70805020110221
1303,674,13,GABA,-1.0,-2.6390573296152584
548,1240,17,ACH,1.0,2.8903717578961645
1466,1091,36,ACH,1.0,3.6109179126442243
1468,729,5,ACH,1.0,1.791759469228055
1112,729,20,ACH,1.0,3.044522437723423
1190,571,17,GABA,-1.0,-2.8903717578961645
1697,556,41,ACH,1.0,3.7376696182833684
869,1122,6,ACH,1.0,1.9459101490553132
860,1303,12,ACH,1.0,2.5649493574615367
246,239,17,GABA,-1.0,-2.8903717578961645
789,369,19,ACH,1.0,2.995732273553991
