idx,root_id,primary_type,additional_type,super_class,role
0,720575940600433181,JO-B,,sensory,input_wind
1,720575940602380768,CB1538,,central,interneuron
2,720575940602483424,LC31b,LC31,visual_projection,interneuron
3,720575940602879404,CB1066,,central,interneuron
4,720575940602891232,CB1638,,central,interneuron
5,720575940603533246,CB3877,WV-WV-3,central,interneuron
6,720575940603636913,SAD052,B1-3,central,interneuron
7,720575940603637438,LC4,,visual_projection,interneuron
8,720575940603804350,PLP018,,central,interneuron
9,720575940603903264,CB1622,,central,interneuron
10,720575940603930046,CB1125,aSP18,central,interneuron
11,720575940603942828,PVLP112a,"PVLP112, pIP7",central,interneuron
12,720575940603989420,LPLC2,,visual_projection,input_vision
13,720575940604054188,JO-B,,sensory,input_wind
14,720575940604088288,AVLP016,,central,interneuron
15,720575940604103084,DNp33,SAD095,descending,interneuron
16,720575940604201830,CB3875,WV-WV-3,central,interneuron
17,720575940604274622,JO-B,,sensory,input_wind
18,720575940604285356,CB3513b,,central,interneuron
19,720575940604364134,AMMC028,,central,interneuron
20,720575940604470240,CB0626,hb5813083315,central,interneuron
21,720575940604531229,JO-B,,sensory,input_wind
22,720575940604609056,LPLC4,,visual_projection,interneuron
23,720575940604653484,CB0466,,central,interneuron
24,720575940604745346,CB1145,,central,interneuron
25,720575940604783136,DNg56,,descending,output
26,720575940604805036,JO-B,,sensory,input_wind
27,720575940604814526,WED070,,central,interneuron
28,720575940604839200,CB1078,"B1-2, aPN1",central,interneuron
29,720575940604954289,DNp04,,descending,output
30,720575940604988332,JO-B,,sensory,input_wind
31,720575940605095346,CB3915,WV-WV-2,central,interneuron
32,720575940605209521,JO-B,,sensory,input_wind
33,720575940605214636,CB3876,WV-WV-3,central,interneuron
34,720575940605219500,JO-B,,sensory,input_wind
35,720575940605238188,JO-B,,sensory,input_wind
36,720575940605277798,CB3922,,central,interneuron
37,720575940605298121,CB0979,,central,interneuron
38,720575940605308082,SAD021_c,,central,interneuron
39,720575940605598892,LC4,,visual_projection,interneuron
40,720575940605622118,JO-B,,sensory,input_wind
41,720575940605627424,JO-C,,sensory,input_wind
42,720575940605755424,JO-B,,sensory,input_wind
43,720575940605825666,LPLC2,,visual_projection,input_vision
44,720575940605829065,LTe65,PS179,visual_projection,interneuron
45,720575940605937097,PVLP027,,central,interneuron
46,720575940606010569,CB1425,B1-3,central,interneuron
47,720575940606126438,LPLC2,,visual_projection,input_vision
48,720575940606149321,AVLP076,,central,interneuron
49,720575940606179686,DNpe021,CL307,descending,output
50,720575940606217138,LPLC2,,visual_projection,input_vision
51,720575940606218528,CB0563,,central,interneuron
52,720575940606332629,CB1078,"B1-1, aPN1",central,interneuron
53,720575940606336213,CB2664,B1-4,central,interneuron
54,720575940606541065,LPC1,,visual_projection,interneuron
55,720575940606619081,JO-B,,sensory,input_wind
56,720575940606651936,PVLP123a,PVLP123,central,interneuron
57,720575940606693297,PVLP124,,central,interneuron
58,720575940606743170,SAD021_c,,central,interneuron
59,720575940606748006,LPC1,,visual_projection,interneuron
60,720575940606850761,JO-B,,sensory,input_wind
61,720575940606855554,LPLC2,,visual_projection,input_vision
62,720575940606871497,JO-B,,sensory,input_wind
63,720575940606872777,JO-B,,sensory,input_wind
64,720575940606926466,SAD016,,central,interneuron
65,720575940606938313,JO-B,,sensory,input_wind
66,720575940607088514,JO-B,,sensory,input_wind
67,720575940607188036,CB1078,"B1-1, aPN1",central,interneuron
68,720575940607244978,CB3486,,central,interneuron
69,720575940607378633,DNpe039,CL306,descending,output
70,720575940607541187,CB3063,,central,interneuron
71,720575940607614475,CL022,,central,interneuron
72,720575940607619273,CB2501,,central,interneuron
73,720575940607683011,LPLC2,,visual_projection,input_vision
74,720575940607761244,DNg29,,descending,output
75,720575940607765259,JO-C,,sensory,input_wind
76,720575940607800242,LC31b,LC31,visual_projection,interneuron
77,720575940607825621,LPLC4,,visual_projection,interneuron
78,720575940607827392,JO-B,,sensory,input_wind
79,720575940607845250,LPLC2,,visual_projection,input_vision
80,720575940607854531,LPLC2,,visual_projection,input_vision
81,720575940607881152,JO-B,,sensory,input_wind
82,720575940607915698,LC14a1,LC14,optic,interneuron
83,720575940607944384,JO-B,,sensory,input_wind
84,720575940607947456,JO-B,,sensory,input_wind
85,720575940607948224,JO-B,,sensory,input_wind
86,720575940607970313,CB2824,,central,interneuron
87,720575940608010453,LPC1,,visual_projection,interneuron
88,720575940608035374,CB2556,B1,central,interneuron
89,720575940608083780,CL323a,CL323,central,interneuron
90,720575940608088259,LPLC2,,visual_projection,input_vision
91,720575940608112137,JO-B,,sensory,input_wind
92,720575940608120587,PVLP122b,PVLP122,central,interneuron
93,720575940608188427,DNge037,,descending,output
94,720575940608370012,CB1969,,central,interneuron
95,720575940608431625,PVLP028,,central,interneuron
96,720575940608444355,LPLC4,,visual_projection,interneuron
97,720575940608483164,JO-B,,sensory,input_wind
98,720575940608524224,JO-B,,sensory,input_wind
99,720575940608545219,AVLP080,,central,interneuron
100,720575940608661955,LT51,aSP29b,visual_projection,interneuron
101,720575940608788088,CB3404,,central,interneuron
102,720575940608809006,CB1395,"AVLP480, PVLP110",central,interneuron
103,720575940608845124,LPLC4,,visual_projection,interneuron
104,720575940608875531,LPLC2,,visual_projection,input_vision
105,720575940608875703,JO-B,,sensory,input_wind
106,720575940608876471,JO-B,,sensory,input_wind
107,720575940608893623,JO-B,,sensory,input_wind
108,720575940608909269,CB0214,,central,interneuron
109,720575940608975371,JO-A,,sensory,interneuron
110,720575940609063236,LPLC4,,visual_projection,interneuron
111,720575940609076693,CB1280,B1-4,central,interneuron
112,720575940609084206,CB3741,,central,interneuron
113,720575940609180718,LC14a1,LC14,optic,interneuron
114,720575940609268491,SAD064,,central,interneuron
115,720575940609289284,JO-B,,sensory,input_wind
116,720575940609376707,DNge048,,descending,output
117,720575940609513841,CB4045,WV-WV-3,central,interneuron
118,720575940609522382,CB2664,B1-4,central,interneuron
119,720575940609527069,JO-B,,sensory,input_wind
120,720575940609592674,LPLC2,,visual_projection,input_vision
121,720575940609648395,CB2556,B1,central,interneuron
122,720575940609673369,B1-4,,central,interneuron
123,720575940609675785,LPLC4,,visual_projection,interneuron
124,720575940609691075,JO-A,,sensory,interneuron
125,720575940609816014,JO-B,,sensory,input_wind
126,720575940609832410,CB3588,B1-5,central,interneuron
127,720575940609934365,JO-B,,sensory,input_wind
128,720575940609944418,CB1098,,central,interneuron
129,720575940610028868,JO-B,,sensory,input_wind
130,720575940610063918,CB3707,SAD073,central,interneuron
131,720575940610077026,CB1542,"B1-2, aPN1",central,interneuron
132,720575940610091955,DNge113,,descending,interneuron
133,720575940610116581,CB0033,IPS_pr02,central,interneuron
134,720575940610116757,LPLC2,,visual_projection,input_vision
135,720575940610199781,DNp102,PS212,descending,output
136,720575940610215032,CB1143,,central,interneuron
137,720575940610226645,LPLC2,,visual_projection,input_vision
138,720575940610256370,CB1236,AVLP176_d,central,interneuron
139,720575940610313570,PVLP070,,central,interneuron
140,720575940610341525,JO-B,,sensory,input_wind
141,720575940610358990,CB1078,"B1-2, aPN1",central,interneuron
142,720575940610382546,LPLC4,,visual_projection,interneuron
143,720575940610423235,CB1138,,central,interneuron
144,720575940610432120,LPLC4,,visual_projection,interneuron
145,720575940610472146,DNp23,,descending,output
146,720575940610505006,DNp103,PVLP119,descending,output
147,720575940610514073,AN_AVLP_GNG_21,,ascending,interneuron
148,720575940610522009,LC4,,visual_projection,interneuron
149,720575940610536290,LPLC2,,visual_projection,input_vision
150,720575940610595118,JO-B,,sensory,input_wind
